input,instruction,output
"paragraph:  Lucy was walking with her family in the woods, far away from the city. Her father helped her see all kinds of animals. It was like going to the zoo. They saw deer, a moose, a fox, and a bear. The bear ran away when her brother shouted. Lucy thought that was lucky, because she was a little scared of it. Her father showed her a whistle to blow in case she got lost. Her brother kept stealing it. While they were walking down by a stream, Lucy's Mom was making sandwiches for everyone. Lucy's brother Jim kept blowing the whistle. He told her that he was going to steal her sandwich if he got there first. That made her mad! She really wanted her turkey sandwich and not a peanut butter and jelly sandwich. When their mom called, they both ran back as fast as they could. Since Jim was older, he was faster and beat her to the picnic. Lucy started crying. She thought Jim stole everything!",Answer the following question from the paragraph : Question: What sandwich did Lucy want to eat at the picnic?,turkey
"paragraph:  CHAPTER IX \\FOILED \\""We seem to be just in time, Mr. Hurd,"" Wilhelmina said. ""Do you mind coming back for a moment into your study? Mr. Macheson and I have something to say to you."" \\He glanced at his watch. He was wholly unable to conceal his annoyance at their appearance. \\""I am afraid,"" he said, with strained civility, ""that I can only spare a couple of minutes."" \\""You are going to town?"" she asked, as he reluctantly followed her. \\""Yes!"" he answered. ""Mr. White wished to see me early to-morrow morning about the new leases, and I have to go before the committee about this Loughborough water scheme."" \\""These are my affairs,"" she said, ""so if you should miss your train, the responsibility will be mine."" \\""I can spare five minutes,"" he answered, ""but I cannot miss that train. I have some private engagements. And, madam,"" he continued, struggling with his anger, ""I beg that you will not forget that even if I am in your employ, this is my house, and I will not have that man in it!"" \\He pointed to Macheson, who was standing upon the threshold. Wilhelmina stood between the two. \\""Mr. Hurd,"" she said, ""please control yourself. There is no reason why we should any of us quarrel. Mr. Macheson and I are here to speak to you of a matter in which he has become concerned. I asked him to come here with me. We have come to see you about Letty!"" \\""What about her?"" he demanded, with some attempt at bravado. ",Answer the following question from the paragraph : Question: Regarding what?,the new leases
"paragraph:  CHAPTER XL JOY WELL-NIGH INCREDIBLE \\The midday letters were a riddle to the ladies at Malvern. \\'Out all day,' said Mary, 'that is well. He will get strong out boating.' \\'I hope Herbert has come home to take him out,' said Constance. \\'Or he may be yachting. I wonder he does not say who is taking him out. I am glad that he can feel that sense of enjoyment.' \\Yet that rejoicing seemed to be almost an effort to the poor mother who craved for a longer letter, and perhaps almost felt as if her Frank were getting out of sympathy with her grief--and what could be the good news? \\'Herbert must have passed!' said Constance. \\'I hope he has, but the expression is rather strong for that,' said Lady Adela. \\'Perhaps Ida is engaged to that Mr. Deyncourt? Was that his name?' said Lady Northmoor languidly. \\'Oh! that would be delicious,' cried Constance, 'and Ida has grown much more thoughtful lately, so perhaps she would do for a clergyman's wife.' \\'Is Ida better?' asked her aunt, who had been much drawn towards the girl by hearing that her health had suffered from grief for Michael. \\'Mamma does not mention her in her last letter, but poor Ida is really much more delicate than one would think, though she looks so strong. This would be delightful!' \\'Yet, joy well-nigh incredible!' said her aunt, meditatively. 'Were not those the words? It would not be like your uncle to put them in that way unless it were something--even more wonderful, and besides, why should he not write it to me?' ",Answer the following question from the paragraph : Question: What was she suffering from?,grief
"paragraph:  CHAPTER VIII \\A TIME OF WAITING \\Dinah woke two minutes before one o'clock, and Nat at once lay down and, resolutely refusing to allow himself to think any more of the situation, was soon fast asleep. \\""It am jess beginning to get light, Marse Glober,"" the negress said when, as it seemed to him, he had not been five minutes asleep. However, he jumped up at once. \\""It is very dark, still, Dinah."" \\""It am dark, sah, but not so dark as it was. Bes' be off at once. Must get well away before dem black fellows wake up."" \\""How is Madame Duchesne?"" \\""She sleep, sah; she no wake for another tree or four hours. Dinah give pretty strong dose. Bes' dat she should know noting about it till we get to a safe place."" \\""But is there any safe place, Dinah?"" \\""Yes, massa; me take you where dey neber tink of searching, but good way off in hills."" \\Myra by this time was on her feet also. \\""Have you slept well, Myra?"" \\""Yes, I have slept pretty well, but in spite of the two blankets under us it was awfully hard, and I feel stiff all over now."" \\""How shall we divide the things, Dinah?"" \\""Well, sah, do you tink you can take de head of de barrow? Dat pretty heaby weight."" \\""Oh, nonsense!"" Nat said. ""Madame Duchesne is a light weight, and if I could get her comfortably on my back I could carry her any distance."" \\""Dat bery well before starting, Marse Glober, you tell anoder story before we gone very far."" ",Answer the following question from the paragraph : Question: Was it light out?,no
"paragraph:  (CNN) -- The grandmother of a missing Maine toddler says no family members in the home the night the girl vanished had anything to do with her disappearance. \\""I feel violated. Somebody came into my home and took my granddaughter who was sleeping,"" Phoebe DiPietro said during her first television interview about Ayla Reynolds, the now 21-month-old toddler. \\Ayla disappeared December 17. Police have said they believe foul play was involved. They also say the DiPietros have fully co-operated in the investigation. \\Sitting in her living room, steps away from Ayla's bedroom, DiPietro said she heard nothing while she slept that night. She wasn't the last one to go to bed that night and wasn't sure whether the doors were locked. She and her son suspect the child was abducted. \\Update: Grandmother changes story \\""I'm sure that eventually they will be able to let us know how someone go into the house whether it was an unlocked window, an unlocked door, I don't know,"" DiPietro said. 'If I knew, it wouldn't have happened,"" she added. \\Investigators have said there were several adults in the DiPietro home that night, including DiPietro and her 24-year-old son. Police won't identify the others, nor reveal much else. \\Neither will Phoebe DiPietro. She says detectives have asked her and her son not to divulge details of what happened that night to avoid possibly hindering the investigation. \\""I can tell you there was not a party here at the house. Just beyond that, I can't answer any questions."" She says her son put Ayla to bed every night. ",Answer the following question from the paragraph : Question: On what day?,17
"paragraph:  (CNN) -- ""I killed that lady,"" the 10-year-old boy told a Pennsylvania state trooper, after a 90-year-old woman was found dead in the home of the boy's grandfather. \\Tristen Kurilla, a fifth grader, made the chilling confession Saturday, police said, after his mother brought him to the Pennsylvania State Police Barracks in Honesdale, about 140 miles north of Philadelphia. \\Now, Kurilla is being held at the Wayne County Correctional Facility and charged as an adult with criminal homicide, the Wayne County district attorney's office said. The boy is separated from adult offenders and is being constantly supervised, CNN affiliate WBRE reported. \\The boy admitted to grabbing a wooden cane, holding it against 90-year-old Helen Novak's throat for several seconds and punching her in the throat and stomach, according to the police affidavit. \\Kurilla told police he was angry at Novak because she had yelled at him when he entered her room. He said he wanted to ask her a question. \\Were you trying to kill her? the trooper asked the boy. \\""No, I was only trying to hurt her,"" Kurilla replied, according to the affidavit. \\The boy was ordered to be held without bail after his arraignment and is set to appear in court October 22. \\Bernie Brown, his lawyer, said he was petitioning the court to get the fifth-grade Damascus Elementary School student out of jail, WBRE reported. \\""Tristen really kind of doesn't have an idea of what is going on,"" Brown told the station. \\Brown added, ""Jail is still jail, no matter what part of the facility you are in."" ",Answer the following question from the paragraph : Question: Why?,she yelled at him
"paragraph:  CHAPTER XV. SAFE-CONDUCT \\Across the body of that convulsively sobbing woman, the mother of one and the mistress of the other, the eyes of those mortal enemies met, invested with a startled, appalled interest that admitted of no words. \\Beyond the table, as if turned to stone by this culminating horror of revelation, stood Aline. \\M. de La Tour d'Azyr was the first to stir. Into his bewildered mind came the memory of something that Mme. de Plougastel had said of a letter that was on the table. He came forward, unhindered. The announcement made, Mme. de Plougastel no longer feared the sequel, and so she let him go. He walked unsteadily past this new-found son of his, and took up the sheet that lay beside the candlebranch. A long moment he stood reading it, none heeding him. Aline's eyes were all on Andre-Louis, full of wonder and commiseration, whilst Andre-Louis was staring down, in stupefied fascination, at his mother. \\M. de La Tour d'Azyr read the letter slowly through. Then very quietly he replaced it. His next concern, being the product of an artificial age sternly schooled in the suppression of emotion, was to compose himself. Then he stepped back to Mme. de Plougastel's side and stooped to raise her. \\""Therese,"" he said. \\Obeying, by instinct, the implied command, she made an effort to rise and to control herself in her turn. The Marquis half conducted, half carried her to the armchair by the table. \\Andre-Louis looked on. Still numbed and bewildered, he made no attempt to assist. He saw as in a dream the Marquis bending over Mme. de Plougastel. As in a dream he heard him ask: ",Answer the following question from the paragraph : Question: What did M. de La Tour d'Azyr do after he read the letter?,replaced it
"paragraph:  Kate's parents planned a family trip to Europe! This would be Kate's first big vacation out of America. She loves to be on planes. The plane ride was fun and they landed in Paris, France. They went to the Eiffel Tower and the Seine River. Kate even learned how to say hello in French! They ate delicious food. Then they took a train to London, England. They drank tea and toast and went to see art. Then they took another plane to Spain. They went to the beach and ate delicious Spanish food. Spanish food was her favorite so far. A new friend taught her ""Hola,"" which is hello in Spanish. Finally, they went to Italy. They ate pasta and pizza and saw the Leaning Tower of Pisa. Her mom took a funny picture of her pretending to hold the tower. She learned to say hello in Italian, too. Kate had such a fun time on her vacation. She took a lot of pictures and then made a photo album to show to her friends at school. Kate wants to go back to Europe one day. She loves to travel and see new and different places.",Answer the following question from the paragraph : Question: What did she think about the plane?,was fun
"paragraph:  Buenos Aires, Argentina (CNN) -- Roberto Sanchez, the Argentine singer known as ""Sandro"" and who drew comparisons to Elvis Presley, died Monday night after complications from surgery, his doctor told reporters. He was 64. \\Sandro's romantic ballads made him a star in the 1960s, but he first found the limelight as rock and roll singer who imitated Elvis' style. \\In his long career, Sandro recorded dozens of albums and also acted in 16 movies, according to the Web site Rock.com.ar. He is considered one of the pioneers of the Spanish Rock movement. \\The singer was also known as ""El Gitano,"" or ""the Gypsy,"" because of his family's Roma roots. \\Some accounts place Sandro as the first Latino artist to sell out Madison Square Garden in New York. \\Sandro died at the Italian Hospital in Mendoza, Argentina, where he was being treated for complications from a heart and lung transplant last month. \\He is survived by his wife, Olga Garaventa. \\Funeral arrangements are pending. \\",Answer the following question from the paragraph : Question: Where did Sandro sell out a show?,madison square garden
"paragraph:  CHAPTER III: Lightfoot Tells How His Antlers Grew \\It is hard to believe what seems impossible. And yet what seems impossible to you may be a very commonplace matter to some one else. So it does not do to say that a thing cannot be possible just because you cannot understand how it can be. Peter Rabbit wanted to believe what Lightfoot the Deer had just told him, but somehow he couldn't. If he had seen those antlers growing, it would have been another matter. But he hadn't seen Lightfoot since the very last of winter, and then Lightfoot had worn just such handsome antlers as he now had. So Peter really couldn't be blamed for not being able to believe that those old ones had been lost and in their place new ones had grown in just the few months of spring and summer. \\But Peter didn't blame Lightfoot in the least, because he had told Peter that he didn't like to tell things to people who wouldn't believe what he told them when Peter had asked him about the rags hanging to his antlers. ""I'm trying to believe it,"" he said, quite humbly. \\""It's all true,"" broke in another voice. \\Peter jumped and turned to find his big cousin, Jumper the Hare. Unseen and unheard, he had stolen up and had overheard what Peter and Lightfoot had said. \\""How do you know it is true?"" snapped Peter a little crossly, for Jumper had startled him. \\""Because I saw Lightfoot's old antlers after they had fallen off, and I often saw Lightfoot while his new ones were growing,"" retorted Jumper. ",Answer the following question from the paragraph : Question: What kind of animal was he?,a Hare.
"paragraph:  CHAPTER VIII. \\NEW QUARTERS. \\Until nearly daylight the boys remained awake, laughing over Newcombe's credulity, or congratulating each other on the success of that night's work, and then Bob, who for half an hour had been studying some plan, said: \\""It isn't best for us to spend all our time laughing at Newcombe, or we may find out that he's smarter than we give him credit of being. If we expect to shoot any more wells in this vicinity, we must change our quarters, for we can safely count on this being watched."" \\""What if it is?"" cried Dick, their success having made him very bold. ""Wasn't it watched to-night, and didn't we shoot the Hoxie well in spite of them all?"" \\""Yes, we fooled Newcombe well; but we might find it difficult to do so the second time. Then again, all our work would not be as convenient to the hut as this was, and if it had been necessary for us to get our horses out, you must admit that Newcombe had us very foul."" \\And Bob, while he felt thoroughly elated by their victory, did not want that his partners should come to believe that all difficulties could be surmounted as readily. \\""But what do you mean about changing our quarters?"" asked Jim, who looked upon their hut as something particularly convenient and well located. \\""I mean that we have got to build another shanty somewhere, if we can't find one ready-made."" \\""Nonsense! there's no more use of our leaving this place than there is of our trying to fly!"" said Dick. ""I ain't afraid that Newcombe will come here again very soon."" ",Answer the following question from the paragraph : Question: What did he say they must do?,Change their quarters
"paragraph:  (CNN) -- Civil rights activist Dorothy Height, 98, remained in ""very serious, but stable condition"" Saturday, her friend and spokeswoman said. \\A flurry of rumors about Height's death appeared Saturday on the Internet, particularly on the social networking site Twitter, where her name was a trending topic. Wikipedia also briefly reported Height's death. \\Height remains hospitalized, according to Alexis Herman, her friend and former secretary of labor under President Bill Clinton. Height was admitted to Howard University Hospital earlier this week. Further details about her condition were not immediately available. \\""We are grateful for the professional care of her doctors,"" Herman said in a written statement. ""We especially thank everyone for your thoughts, prayers and support during this challenging time."" \\Height, who turned 98 Wednesday, is chair and president emerita of the National Council of Negro Women. In the 1960s, she worked alongside civil rights pioneers, including the Rev. Martin Luther King Jr., future U.S. Rep. John Lewis and A. Philip Randolph. \\She has been active in civil rights since the New Deal era, according to her biography on the National Council of Negro Women's Web site. \\As a leader of the United Christian Youth Movement of North America beginning in 1933, ""she worked to prevent lynching, desegregate the armed forces, reform the criminal justice system and for free access to public accommodations,"" the site says. \\She was elected president of the NCNW in 1957 and held the post until 1998. \\CNN's Lindy Royce contributed to this report. \\",Answer the following question from the paragraph : Question: was that report accurate?,No
"paragraph:  (CNN) -- Cristiano Ronaldo underlined just why Real Madrid agreed to pay him the big bucks on a scintillating evening of European football. \\The 28-year-old, who inked a new five-year deal with the Spanish club on Sunday, completed a brilliant hat trick as Real raced to a 6-1 rout against Galatasaray. \\Ronaldo had the final say in Istanbul as he danced past three defenders before blasting the ball into the net for his hat-trick. \\Summer signing Isco had got Los Blancos off the mark when he picked up a long ball hit from beyond the halfway line by Angel di Maria and hit home after 33 minutes. \\From then on it was one way traffic as Karim Benzema and Ronaldo added two goals apiece before Umut Bulut pulled one back for the Turkish champions. \\The away victory saw the nine time European champions kick off a new era of European football under manager Carlo Ancelotti in some style. \\A pulsating opening round of Champions League group matches featured a flurry of firsts. \\Former Barcelona boss Pep Guardiola safely negotiated his first match in charge of Bayern Munich's title defence with an emphatic 3-0 win over CSKA Moscow. \\David Alaba hit home a dipping free kick to set the Germans on their way before Mario Mandzukic powered in a header in a dominant first half. \\Arjen Robben volleyed in a scooped pass from Alaba to tick off a first European win for Guardiola and his defending champions. \\David Moyes also came through his first game as Manchester United manager unscathed as the club made its first European outing without Sir Alex Ferguson at the helm since 1985. ",Answer the following question from the paragraph : Question: Who did Bayern Munich play?,CSKA Moscow.
"paragraph:  The modern English word green comes from the Middle English and Anglo-Saxon word grene, from the same Germanic root as the words ""grass"" and ""grow"". It is the color of living grass and leaves and as a result is the color most associated with springtime, growth and nature. By far the largest contributor to green in nature is chlorophyll, the chemical by which plants photosynthesize and convert sunlight into chemical energy. Many creatures have adapted to their green environments by taking on a green hue themselves as camouflage. Several minerals have a green color, including the emerald, which is colored green by its chromium content. \\In surveys made in Europe and the United States, green is the color most commonly associated with nature, life, health, youth, spring, hope and envy. In Europe and the U.S. green is sometimes associated with death (green has several seemingly contrary associations), sickness, or the devil, but in China its associations are very positive, as the symbol of fertility and happiness. In the Middle Ages and Renaissance, when the color of clothing showed the owner's social status, green was worn by merchants, bankers and the gentry, while red was the color of the nobility. The Mona Lisa by Leonardo da Vinci wears green, showing she is not from a noble family; the benches in the British House of Commons are green, while those in the House of Lords are red. Green is also the traditional color of safety and permission; a green light means go ahead, a green card permits permanent residence in the United States. It is the most important color in Islam. It was the color of the banner of Muhammad, and is found in the flags of nearly all Islamic countries, and represents the lush vegetation of Paradise. It is also often associated with the culture of Gaelic Ireland, and is a color of the flag of Ireland. Because of its association with nature, it is the color of the environmental movement. Political groups advocating environmental protection and social justice describe themselves as part of the Green movement, some naming themselves Green parties. This has led to similar campaigns in advertising, as companies have sold green, or environmentally friendly, products.",Answer the following question from the paragraph : Question: What kind of root does it come from?,Germanic
"paragraph:  The Cayman Islands ( or ) is an autonomous British Overseas Territory in the western Caribbean Sea. The territory comprises the three islands of Grand Cayman, Cayman Brac and Little Cayman located south of Cuba, northeast of Costa Rica, north of Panama, east of Mexico and northwest of Jamaica. Its population is approximately , and its capital is George Town. \\The Cayman Islands are considered to be part of the geographic Western Caribbean Zone as well as the Greater Antilles. The territory is often considered a major world offshore financial haven for many wealthy individuals. \\The Cayman Islands remained largely uninhabited until the 17th century. While there is no archaeological evidence for an indigenous people on the islands, a variety of settlers from various backgrounds made their home on the islands, including pirates, shipwrecked sailors, and deserters from Oliver Cromwell's army in Jamaica. The first recorded permanent inhabitant of the Cayman Islands, Isaac Bodden, was born on Grand Cayman around 1661. He was the grandson of the original settler named Bodden who was probably one of Oliver Cromwell's soldiers at the taking of Jamaica in 1655. \\England took formal control of the Cayman Islands, along with Jamaica, as a result of the Treaty of Madrid of 1670. Following several unsuccessful attempts at settlement, a permanent English-speaking population in the islands dates from the 1730s. With settlement, after the first royal land grant by the Governor of Jamaica in 1734, came the perceived need for slaves. Many were brought to the islands from Africa; this is evident today with the majority of native Caymanians being of African and English descent. The results of the first census taken in the islands in 1802 showed the population on Grand Cayman to be 933 with 545 of those inhabitants being enslaved. Slavery was abolished in the Cayman Islands in 1833. At the time of abolition, there were over 950 Blacks of African ancestry enslaved by 116 white families of English ancestry.",Answer the following question from the paragraph : Question: What are the three islands that comprise the Cayman Islands?,"grand cayman , cayman brac and little cayman"
"paragraph:  A Muslim is someone who follows or practices Islam, a monotheistic Abrahamic religion. Muslims consider the Quran (Koran), their holy book, to be the verbatim word of God as revealed to the Islamic prophet and messenger Muhammad. The majority of Muslims also follow the teachings and practices of Muhammad (""sunnah"") as recorded in traditional accounts (""hadith""). ""Muslim"" is an Arabic word meaning ""one who submits (to Allah)"". \\The beliefs of Muslims include: that God is eternal, transcendent and absolutely one (""tawhid"" or monotheism); that God is incomparable, self-sustaining and neither begets nor was begotten; that Islam is the complete and universal version of a primordial faith that has been revealed before through many prophets including Abraham, Moses, Ishmael and Jesus; that these previous messages and revelations have been partially changed or corrupted over time (""tahrif"") and that the Qur'an is the final unaltered revelation from God (The Final Testament). \\The religious practices of Muslims are enumerated in the Five Pillars of Islam: the declaration of faith (""shahadah""), daily prayers (""salat""), fasting during the month of Ramadan (""sawm""), almsgiving (""zakat""), and the pilgrimage to Mecca (""hajj"") at least once in a lifetime. \\To become a Muslim and to convert to Islam is essential to utter the ""Shahada"", one of the Five Pillars of Islam, a declaration of faith and trust that professes that there is only one God ""(Allah)"" and that Muhammad is God's messenger. It is a set statement normally recited in Arabic: ""lā ʾilāha ʾillā-llāhu muḥammadun rasūlu-llāh"" () ""There is no god but Allah , (and) Muhammad is the messenger of God.""",Answer the following question from the paragraph : Question: Name 2 for me?,Abraham and Moses
"paragraph:  CHAPTER XLI \\THE COLONEL SPEAKS \\Wrayson glanced at the clock for the twentieth time. \\""I am afraid,"" he said gravely, ""that Mr. Sydney Barnes has been one too many for us."" \\""Do you think,"" Louise asked, ""that he has persuaded the girl to give him the packet?"" \\""It looks like it,"" Wrayson confessed. \\Louise frowned. \\""Of course,"" she said, ""I think that you were mad to let her go before. She had the letters here in the room. You would have been perfectly justified in taking them from her."" \\""I suppose so,"" Wrayson assented, doubtfully. ""Somehow she seemed to get the upper hand of us towards the end. I think she suspected that some of us knew more than we cared to tell her about--her husband's death."" \\Louise shivered a little and remained silent. Wrayson walked to the window and back. \\""To tell you the truth,"" he said, ""I expected some one else here to-night who has failed to turn up."" \\""Who is that?"" the Baroness asked. \\Wrayson hesitated for a moment and glanced towards Louise. \\""Colonel Fitzmaurice,"" he said. \\Louise seemed to turn suddenly rigid. She looked at him steadfastly for a moment without speaking. \\""My father,"" she murmured at last. \\Wrayson nodded. \\""Yes!"" he said. \\""But--what has he to do with this?"" Louise asked, with her eyes fixed anxiously, almost fearfully, upon his. \\""I went to him for advice,"" Wrayson said quietly. ""He has been always very kind, and I thought it possible that he might be able to help us. He promised to be here at the same hour as the others. Listen! There is the bell at last."" ",Answer the following question from the paragraph : Question: What time did Wrayson keep glancing at the clock?,twentieth
"paragraph:  Rio de Janeiro (; ; ""River of January""), or simply Rio, is the second-most populous municipality in Brazil and the sixth-most populous in the Americas. The metropolis is anchor to the Rio de Janeiro metropolitan area, the second-most populous metropolitan area in Brazil and sixth-most populous in the Americas. Rio de Janeiro the capital of the state of Rio de Janeiro, Brazil's third-most populous state. Part of the city has been designated as a World Heritage Site, named """"Rio de Janeiro: Carioca Landscapes between the Mountain and the Sea"""", by UNESCO on 1 July 2012 as a Cultural Landscape. \\Founded in 1565 by the Portuguese, the city was initially the seat of the Captaincy of Rio de Janeiro, a domain of the Portuguese Empire. Later, in 1763, it became the capital of the State of Brazil, a state of the Portuguese Empire. In 1808, when the Portuguese Royal Court transferred itself from Portugal to Brazil, Rio de Janeiro became the chosen seat of the court of Queen Maria I of Portugal, who subsequently, in 1815, under the leadership of her son, the Prince Regent, and future King João VI of Portugal, raised Brazil to the dignity of a kingdom, within the United Kingdom of Portugal, Brazil, and Algarves. Rio stayed the capital of the pluricontinental Lusitanian monarchy until 1822, when the War of Brazilian Independence began. This is one of the few instances in history that the capital of a colonising country officially shifted to a city in one of its colonies. Rio de Janeiro subsequently served as the capital of the independent monarchy, the Empire of Brazil, until 1889, and then the capital of a republican Brazil until 1960 when the capital was transferred to Brasília.",Answer the following question from the paragraph : Question: When was it founded?,1565
"paragraph:  (EW.com) -- Identity Thief (CinemaScore: B) fared even better than expected, bringing in $36.6 million over the weekend across 3,141 theaters. For comparison, Melissa McCarthy's last major film Bridesmaids (though it was in a supporting role) opened at $26.2 million, in 2,918 theaters. With an opening like this, big things are surely expected from Seth Gordon's R-rated comedy which has already surpassed its $35 million production budget. Though Bateman and Gordon had a successful run with Horrible Bosses after a $28.3 million opening weekend in July 2011, Bateman hasn't had this kind of luck with most of his starring roles. Universal's The Change-Up (with Ryan Reynolds) opened at $13.5 million in August 2011 and went on to gross only $37.1 million domestically, on a $52 million production budget. \\Jonathan Levine's Warm Bodies took second place for its second weekend with $11.5 million, bringing its domestic total to $36.7 million. This breaks Levine's record, beating the lifetime domestic gross of his last feature, the cancer dramedy 50/50 with Seth Rogen and Joseph Gordon-Levitt, which brought in $35 million. \\The R-rated Hitchcock-style, prescription-drug thriller Side Effects (CinemaScore: B) ended up beating director Steven Soderbergh's January 2012 weekend opening of Haywire, earning $10 million weekend this weekend and averaging $3,845 per theater. We talked a little bit about stars Rooney Mara and Channing Tatum's box office history yesterday. Another star of Side Effects is Jude Law, and he's got a varied track record at the box office. He generally participates in ensemble casts -- Anna Karenina, the Sherlock Holmes franchise, Soderbergh's Contagion, The Holiday -- making his singular box office appeal somewhat more elusive. Side Effects has Soderbergh's name and another strong ensemble, and could go on to a respectable run, even though it won't reach Contagion heights (the epidemic thriller eventually grossed $76 million). ",Answer the following question from the paragraph : Question: How many cast members of it are mentioned?,Three
paragraph:  Once upon a time there was a fish that lived in a bowl. The fish wanted to give a kid a party. But the fish was sad. The fish had no present to give to the kid. The fish would give the kid a spoon. But the fish had no spoon. The fish was a cutie. The fish had an idea. The fish had a stone in the bowl. The fish could give the kid the stone! The fish took the stone from the bowl. The fish put the stone in a bag. The fish gave the kid a party and gave the kid the stone as a gift. The kid told his granddaddy and his mommy that the fish was a cutie. The kid gave the fish a banana. The fish ate the banana and was very happy. The fish and the kid are friends and they love each other.,Answer the following question from the paragraph : Question: What did the fish want to do?,party
"paragraph:  CHAPTER XI \\BORROWDEAN SHOWS HIS ""HAND"" \\""To be plain with you,"" Borrowdean remarked, ""Mannering's defection would be irremediable. He alone unites Redford, myself, and--well, to put it crudely, let us say the Imperialistic Liberal Party with Manningham and the old-fashioned Whigs who prefer the ruts. There is no other leader possible. Redford and I talked till daylight this morning. Now, can nothing be done with Mannering?"" \\""To be plain with you, too, then, Sir Leslie,"" Berenice answered, ""I do not think that anything can be done with him. In his present frame of mind I should say that he is better left alone. He has worked himself up into a thoroughly sentimental and nervous state. For the moment he has lost his sense of balance."" \\Borrowdean nodded. \\""Desperate necessity,"" he said, ""sometimes justifies desperate measures. We need Mannering, the country and our cause need him. If argument will not prevail there is one last alternative left to us. It may not be such an alternative as we should choose, but beggars must not be choosers. I think that you will know what I mean."" \\""I have no idea,"" Berenice answered. \\""You are aware,"" he continued, ""that there is in Mannering's past history an episode, the publication of which would entail somewhat serious consequences to him."" \\""Well?"" \\It was a most eloquent monosyllable, but Borrowdean had gone too far to retreat. \\""I propose that we make use of it,"" he said. ""Mannering's attitude is rankly foolish, or I would not suggest such a thing. But I hold that we are entitled, under the circumstances, to make use of any means whatever to bring him to his senses."" ",Answer the following question from the paragraph : Question: What would Mannering's defection be?,irremediable
"paragraph:  (CNN) -- The stepmother of a missing 10-year-old North Carolina girl joined police as they searched for the girl's body Monday, the same day the girl's father landed behind bars. \\Elisa Baker, who police said last week admitted to writing a fake ransom note a day after the girl's disappearance was reported, was taken by police to a search site near a home she lived in three years ago, according to CNN affiliate WSOC. \\Earlier on Monday, shortly after 3 a.m., Adam Troy Baker was arrested in Catawba County on eight charges, including five counts of submitting worthless checks and three counts of failing to appear in court. \\Police earlier acknowledged that Adam Baker faced bad-check charges, which are unrelated to the disappearance of his daughter, Zahra Clare Baker. But they did not initially arrest him, as he had been helping authorities in their search. \\Zahra was reported missing October 9. But no one other than a family member has reported seeing her since September 25, when a woman saw her at a furniture store. \\Elisa Baker was arrested on October 10, initially on several charged unrelated charges, including writing worthless checks. Last week, she was additionally charged with obstruction of justice -- a felony -- after leaving the ransom note at the family's home. \\Authorities on Friday ended an unsuccessful search at a North Carolina landfill for a mattress connected to Zahra's disappearance, said police in Hickory. \\The adolescent's disappearance is being investigated as a homicide, police said. Local, state and federal authorities, along with cadaver dogs, are continuing to search Caldwell County and thereabouts for signs of Zahra. ",Answer the following question from the paragraph : Question: Who went missing?,a girl
"paragraph:  New York—often called New York City or the City of New York to distinguish it from the State of New York, of which it is a part—is the most populous city in the United States and the center of the New York metropolitan area, the premier gateway for legal immigration to the United States and one of the most populous urban agglomerations in the world. A global power city, New York exerts a significant impact upon commerce, finance, media, art, fashion, research, technology, education, and entertainment, its fast pace defining the term New York minute. Home to the headquarters of the United Nations, New York is an important center for international diplomacy and has been described as the cultural and financial capital of the world. \\Situated on one of the world's largest natural harbors, New York City consists of five boroughs, each of which is a separate county of New York State. The five boroughs – Brooklyn, Queens, Manhattan, the Bronx, and Staten Island – were consolidated into a single city in 1898. With a census-estimated 2014 population of 8,491,079 distributed over a land area of just 305 square miles (790 km2), New York is the most densely populated major city in the United States. As many as 800 languages are spoken in New York, making it the most linguistically diverse city in the world. By 2014 census estimates, the New York City metropolitan region remains by a significant margin the most populous in the United States, as defined by both the Metropolitan Statistical Area (20.1 million residents) and the Combined Statistical Area (23.6 million residents). In 2013, the MSA produced a gross metropolitan product (GMP) of nearly US$1.39 trillion, while in 2012, the CSA generated a GMP of over US$1.55 trillion, both ranking first nationally by a wide margin and behind the GDP of only twelve and eleven countries, respectively.",Answer the following question from the paragraph : Question: is food one of them?,No
"paragraph:  (CNN) -- A Pakistani Taliban commander who had escaped in mass prison break two years ago was arrested again last week, Pakistani intelligence sources told CNN on Tuesday. \\Adnan Rashid, a prominent Tehreek-e-Taliban Pakistan commander, was captured Friday, the sources said. He was injured, but authorities were questioning him, one source said. Sources told CNN he was taken into custody in South Waziristan province and had since been moved. \\But the Pakistani Taliban told CNN the report was baseless and that Rashid is in a safe area. \\Authorities have said Rashid is responsible for several large prison breaks in Pakistan. In 2004, he was sentenced to death for planning an attack on former President Gen. Pervez Musharraf in 2003. \\He was incarcerated at Bannu prison in northwest Pakistan and was freed, as were 400 other inmates, when militants stormed the facility in 2012. \\Rashid also wrote a controversial letter to Malala Yousafzai, a Pakistani schoolgirl shot in the head on her way home from school in 2012. He told her she was targeted not because she advocated education for girls, but rather for her criticism of the militant group. \\In the letter, Rashid said he was writing -- not as a Taliban leader -- to say he was shocked by the shooting, and to express his regret that he did not warn Malala of the attack. \\The letter went on to say that the Taliban supports the education of women, as long as it adheres to Islamic law. \\The letter drew criticism from people who said the Taliban are known to target female students. ",Answer the following question from the paragraph : Question: Where did this happen?,South Waziristan Province
